'大学ｺｰﾄﾞ,'学部ｺｰﾄﾞ,'学科ｺｰﾄﾞ,'日程ｺｰﾄﾞ,'方式ｺｰﾄﾞ,'小分類CD,'大学名,'学部名,'学科名,'日程,'入試方式,'小分類名,'募集単位,'県CD
'1315,'01,'01,'0,'0,'101,'大阪大　　　　,'文　　　,'人文　　　　,'　,'　　　,'日本文学　,'1,'27
'1315,'08,'00,'0,'0,'161,'大阪大　　　　,'外国語　,'　　　　　　,'　,'　　　,'東南アジア,'0,'27
'1315,'08,'02,'0,'0,'152,'大阪大　　　　,'外国語　,'外国／中国語,'　,'　　　,'中国語　　,'1,'27
'1315,'08,'03,'0,'0,'158,'大阪大　　　　,'外国語　,'外国／朝鮮語,'　,'　　　,'韓国語（朝,'1,'27
'1315,'08,'04,'0,'0,'165,'大阪大　　　　,'外国語　,'外国／モンゴ,'　,'　　　,'その他語学,'1,'27
'1315,'08,'05,'0,'0,'161,'大阪大　　　　,'外国語　,'外国／インド,'　,'　　　,'東南アジア,'1,'27
'1315,'08,'06,'0,'0,'161,'大阪大　　　　,'外国語　,'外国／フィリ,'　,'　　　,'東南アジア,'1,'27
'1315,'08,'07,'0,'0,'161,'大阪大　　　　,'外国語　,'外国／タイ語,'　,'　　　,'東南アジア,'1,'27
'1315,'08,'08,'0,'0,'161,'大阪大　　　　,'外国語　,'外国／ベトナ,'　,'　　　,'東南アジア,'1,'27
'1315,'08,'09,'0,'0,'161,'大阪大　　　　,'外国語　,'外国／ビルマ,'　,'　　　,'東南アジア,'1,'27
'1315,'08,'10,'0,'0,'165,'大阪大　　　　,'外国語　,'外国／ヒンデ,'　,'　　　,'その他語学,'1,'27
'1315,'08,'11,'0,'0,'165,'大阪大　　　　,'外国語　,'外国／ウルド,'　,'　　　,'その他語学,'1,'27
'1315,'08,'12,'0,'0,'162,'大阪大　　　　,'外国語　,'外国／アラビ,'　,'　　　,'中近東圏・,'1,'27
'1315,'08,'13,'0,'0,'162,'大阪大　　　　,'外国語　,'外国／ペルシ,'　,'　　　,'中近東圏・,'1,'27
'1315,'08,'14,'0,'0,'162,'大阪大　　　　,'外国語　,'外国／トルコ,'　,'　　　,'中近東圏・,'1,'27
'1315,'08,'15,'0,'0,'163,'大阪大　　　　,'外国語　,'外国／スワヒ,'　,'　　　,'アフリカ圏,'1,'27
'1315,'08,'16,'0,'0,'156,'大阪大　　　　,'外国語　,'外国／ロシア,'　,'　　　,'ロシア語　,'1,'27
'1315,'08,'17,'0,'0,'164,'大阪大　　　　,'外国語　,'外国／ハンガ,'　,'　　　,'ヨーロッパ,'1,'27
'1315,'08,'18,'0,'0,'164,'大阪大　　　　,'外国語　,'外国／デンマ,'　,'　　　,'ヨーロッパ,'1,'27
'1315,'08,'19,'0,'0,'164,'大阪大　　　　,'外国語　,'外国／スウェ,'　,'　　　,'ヨーロッパ,'1,'27
'1315,'08,'20,'0,'0,'157,'大阪大　　　　,'外国語　,'外国／ドイツ,'　,'　　　,'ドイツ語　,'1,'27
'1315,'08,'21,'0,'0,'151,'大阪大　　　　,'外国語　,'外国／英語　,'　,'　　　,'英米語　　,'1,'27
'1315,'08,'22,'0,'0,'153,'大阪大　　　　,'外国語　,'外国／フラン,'　,'　　　,'フランス語,'1,'27
'1315,'08,'23,'0,'0,'154,'大阪大　　　　,'外国語　,'外国／イタリ,'　,'　　　,'イタリア語,'1,'27
'1315,'08,'24,'0,'0,'155,'大阪大　　　　,'外国語　,'外国／スペイ,'　,'　　　,'スペイン語,'1,'27
'1315,'08,'25,'0,'0,'159,'大阪大　　　　,'外国語　,'外国／ポルト,'　,'　　　,'ポルトガル,'1,'27
'1315,'08,'26,'0,'0,'160,'大阪大　　　　,'外国語　,'外国／日本語,'　,'　　　,'日本語　　,'1,'27
'1315,'12,'00,'0,'0,'202,'大阪大　　　　,'法　　　,'　　　　　　,'　,'　　　,'政治学　　,'0,'27
'1315,'12,'01,'0,'0,'201,'大阪大　　　　,'法　　　,'法　　　　　,'　,'　　　,'法学　　　,'1,'27
'1315,'12,'02,'0,'0,'202,'大阪大　　　　,'法　　　,'国際公共政策,'　,'　　　,'政治学　　,'1,'27
'1315,'18,'00,'0,'0,'221,'大阪大　　　　,'経済　　,'　　　　　　,'　,'　　　,'経済学　　,'0,'27
'1315,'18,'03,'0,'0,'221,'大阪大　　　　,'経済　　,'経済・経営　,'　,'　　　,'経済学　　,'1,'27
'1315,'37,'00,'0,'0,'751,'大阪大　　　　,'人間科学,'　　　　　　,'　,'　　　,'人間科学　,'0,'27
'1315,'37,'01,'0,'0,'751,'大阪大　　　　,'人間科学,'人間科学　　,'　,'　　　,'人間科学　,'1,'27
'1315,'42,'00,'0,'0,'504,'大阪大　　　　,'理　　　,'　　　　　　,'　,'　　　,'生物学　　,'0,'27
'1315,'42,'01,'0,'0,'503,'大阪大　　　　,'理　　　,'化学　　　　,'　,'　　　,'化学　　　,'1,'27
'1315,'42,'03,'0,'0,'501,'大阪大　　　　,'理　　　,'数学　　　　,'　,'　　　,'数学　　　,'1,'27
'1315,'42,'05,'0,'0,'502,'大阪大　　　　,'理　　　,'物理　　　　,'　,'　　　,'物理学　　,'1,'27
'1315,'42,'06,'0,'0,'504,'大阪大　　　　,'理　　　,'生物／生物科,'　,'　　　,'生物学　　,'1,'27
'1315,'42,'07,'0,'0,'504,'大阪大　　　　,'理　　　,'生物／生命理,'　,'　　　,'生物学　　,'1,'27
'1315,'46,'00,'0,'0,'554,'大阪大　　　　,'工　　　,'　　　　　　,'　,'　　　,'建築・土木,'0,'27
'1315,'46,'02,'0,'0,'555,'大阪大　　　　,'工　　　,'応用自然科学,'　,'　　　,'応用化学　,'1,'27
'1315,'46,'15,'0,'0,'551,'大阪大　　　　,'工　　　,'応用理工　　,'　,'　　　,'機械工学　,'1,'27
'1315,'46,'16,'0,'0,'554,'大阪大　　　　,'工　　　,'地球総合工　,'　,'　　　,'建築・土木,'1,'27
'1315,'46,'17,'0,'0,'552,'大阪大　　　　,'工　　　,'電子情報工　,'　,'　　　,'電気・電子,'1,'27
'1315,'46,'18,'0,'0,'554,'大阪大　　　　,'工　　　,'環境・エネル,'　,'　　　,'建築・土木,'1,'27
'1315,'47,'00,'0,'0,'507,'大阪大　　　　,'基礎工　,'　　　　　　,'　,'　　　,'総合理学　,'0,'27
'1315,'47,'05,'0,'0,'501,'大阪大　　　　,'基礎工　,'情報科学　　,'　,'　　　,'数学　　　,'1,'27
'1315,'47,'09,'0,'0,'507,'大阪大　　　　,'基礎工　,'化学応用科学,'　,'　　　,'総合理学　,'1,'27
'1315,'47,'10,'0,'0,'507,'大阪大　　　　,'基礎工　,'システム科学,'　,'　　　,'総合理学　,'1,'27
'1315,'47,'11,'0,'0,'502,'大阪大　　　　,'基礎工　,'電子物理科学,'　,'　　　,'物理学　　,'1,'27
'1315,'55,'00,'0,'0,'601,'大阪大　　　　,'医　　　,'　　　　　　,'　,'　　　,'医　　　　,'0,'27
'1315,'55,'01,'0,'0,'601,'大阪大　　　　,'医　　　,'医　　　　　,'　,'　　　,'医　　　　,'1,'27
'1315,'55,'02,'0,'0,'651,'大阪大　　　　,'医　　　,'保健／看護学,'　,'　　　,'看護　　　,'1,'27
'1315,'55,'03,'0,'0,'658,'大阪大　　　　,'医　　　,'保健／検査技,'　,'　　　,'検査技術　,'1,'27
'1315,'55,'04,'0,'0,'657,'大阪大　　　　,'医　　　,'保健／放射線,'　,'　　　,'放射線技術,'1,'27
'1315,'58,'00,'0,'0,'611,'大阪大　　　　,'歯　　　,'　　　　　　,'　,'　　　,'歯　　　　,'0,'27
'1315,'58,'01,'0,'0,'611,'大阪大　　　　,'歯　　　,'歯　　　　　,'　,'　　　,'歯　　　　,'1,'27
'1315,'61,'00,'0,'0,'621,'大阪大　　　　,'薬　　　,'　　　　　　,'　,'　　　,'薬　　　　,'0,'27
'1315,'61,'03,'0,'0,'621,'大阪大　　　　,'薬　　　,'薬　　　　　,'　,'　　　,'薬　　　　,'1,'27
'1325,'30,'00,'0,'0,'301,'大阪教育大　　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'27
'1325,'30,'21,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／特別支,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'30,'0,'0,'106,'大阪教育大　　,'教育　　,'教育／国際協,'　,'　　　,'文化学　　,'1,'27
'1325,'30,'31,'0,'0,'106,'大阪教育大　　,'教育　　,'教育／日本語,'　,'　　　,'文化学　　,'1,'27
'1325,'30,'34,'0,'0,'312,'大阪教育大　　,'教育　　,'学校／幼児教,'　,'　　　,'幼稚園　　,'1,'27
'1325,'30,'36,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／小学校,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'37,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／教育探,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'39,'0,'0,'315,'大阪教育大　　,'教育　　,'学校／ＩＣＴ,'　,'　　　,'その他教員,'1,'27
'1325,'30,'41,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／国語　,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'42,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／英語　,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'43,'0,'0,'314,'大阪教育大　　,'教育　　,'養護教諭　　,'　,'　　　,'養護　　　,'1,'27
'1325,'30,'45,'0,'0,'316,'大阪教育大　　,'教育　　,'教育／数理知,'　,'　　　,'０免課程　,'1,'27
'1325,'30,'47,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／社会科,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'48,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／数学　,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'49,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／理科　,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'50,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／技術　,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'51,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／家政　,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'52,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／保健体,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'53,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／音楽　,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'54,'0,'0,'301,'大阪教育大　　,'教育　　,'学校／美・書,'　,'　　　,'小学校　　,'1,'27
'1325,'30,'61,'0,'0,'316,'大阪教育大　　,'教育　　,'教育／環境安,'　,'　　　,'０免課程　,'1,'27
'1325,'30,'62,'0,'0,'105,'大阪教育大　　,'教育　　,'教育／心理科,'　,'　　　,'心理学　　,'1,'27
'1325,'30,'63,'0,'0,'316,'大阪教育大　　,'教育　　,'教育／スポー,'　,'　　　,'０免課程　,'1,'27
'1325,'30,'64,'0,'0,'316,'大阪教育大　　,'教育　　,'教育／芸術表,'　,'　　　,'０免課程　,'1,'27
'1325,'31,'00,'0,'0,'301,'大阪教育大　　,'教育夜　,'　　　　　　,'　,'　　　,'小学校　　,'0,'27
'1325,'31,'02,'0,'0,'301,'大阪教育大　　,'教育夜　,'学校／小学校,'　,'　　　,'小学校　　,'1,'27
'1330,'01,'00,'0,'0,'101,'神戸大　　　　,'文　　　,'　　　　　　,'　,'　　　,'日本文学　,'0,'28
'1330,'01,'04,'0,'0,'101,'神戸大　　　　,'文　　　,'人文　　　　,'　,'　　　,'日本文学　,'1,'28
'1330,'12,'00,'0,'0,'201,'神戸大　　　　,'法　　　,'　　　　　　,'　,'　　　,'法学　　　,'0,'28
'1330,'12,'01,'0,'0,'201,'神戸大　　　　,'法　　　,'法律　　　　,'　,'　　　,'法学　　　,'1,'28
'1330,'18,'00,'0,'0,'221,'神戸大　　　　,'経済　　,'　　　　　　,'　,'　　　,'経済学　　,'0,'28
'1330,'18,'01,'0,'0,'221,'神戸大　　　　,'経済　　,'経済　　　　,'　,'　　　,'経済学　　,'1,'28
'1330,'19,'00,'0,'0,'222,'神戸大　　　　,'経営　　,'　　　　　　,'　,'　　　,'経営学・商,'0,'28
'1330,'19,'02,'0,'0,'222,'神戸大　　　　,'経営　　,'経営　　　　,'　,'　　　,'経営学・商,'1,'28
'1330,'34,'00,'0,'0,'261,'神戸大　　　　,'国際人間,'　　　　　　,'　,'　　　,'国際関係学,'0,'28
'1330,'34,'01,'0,'0,'261,'神戸大　　　　,'国際人間,'グローバル文,'　,'　　　,'国際関係学,'1,'28
'1330,'34,'02,'0,'0,'751,'神戸大　　　　,'国際人間,'発達コミュニ,'　,'　　　,'人間科学　,'1,'28
'1330,'34,'03,'0,'0,'301,'神戸大　　　　,'国際人間,'子ども教育　,'　,'　　　,'小学校　　,'1,'28
'1330,'34,'04,'0,'0,'753,'神戸大　　　　,'国際人間,'環境共生　　,'　,'　　　,'総合科学　,'1,'28
'1330,'42,'00,'0,'0,'501,'神戸大　　　　,'理　　　,'　　　　　　,'　,'　　　,'数学　　　,'0,'28
'1330,'42,'01,'0,'0,'503,'神戸大　　　　,'理　　　,'化学　　　　,'　,'　　　,'化学　　　,'1,'28
'1330,'42,'02,'0,'0,'501,'神戸大　　　　,'理　　　,'数学　　　　,'　,'　　　,'数学　　　,'1,'28
'1330,'42,'03,'0,'0,'504,'神戸大　　　　,'理　　　,'生物　　　　,'　,'　　　,'生物学　　,'1,'28
'1330,'42,'04,'0,'0,'505,'神戸大　　　　,'理　　　,'惑星　　　　,'　,'　　　,'地球科学　,'1,'28
'1330,'42,'05,'0,'0,'502,'神戸大　　　　,'理　　　,'物理　　　　,'　,'　　　,'物理学　　,'1,'28
'1330,'46,'00,'0,'0,'554,'神戸大　　　　,'工　　　,'　　　　　　,'　,'　　　,'建築・土木,'0,'28
'1330,'46,'01,'0,'0,'555,'神戸大　　　　,'工　　　,'応用化　　　,'　,'　　　,'応用化学　,'1,'28
'1330,'46,'02,'0,'0,'551,'神戸大　　　　,'工　　　,'機械工　　　,'　,'　　　,'機械工学　,'1,'28
'1330,'46,'05,'0,'0,'552,'神戸大　　　　,'工　　　,'電気電子工　,'　,'　　　,'電気・電子,'1,'28
'1330,'46,'06,'0,'0,'554,'神戸大　　　　,'工　　　,'建築　　　　,'　,'　　　,'建築・土木,'1,'28
'1330,'46,'07,'0,'0,'554,'神戸大　　　　,'工　　　,'市民工　　　,'　,'　　　,'建築・土木,'1,'28
'1330,'48,'00,'0,'0,'553,'神戸大　　　　,'システム,'　　　　　　,'　,'　　　,'情報工学　,'0,'28
'1330,'48,'01,'0,'0,'553,'神戸大　　　　,'システム,'システム情報,'　,'　　　,'情報工学　,'1,'28
'1330,'55,'00,'0,'0,'551,'神戸大　　　　,'医　　　,'　　　　　　,'　,'　　　,'機械工学　,'0,'28
'1330,'55,'01,'0,'0,'601,'神戸大　　　　,'医　　　,'医　　　　　,'　,'　　　,'医　　　　,'1,'28
'1330,'55,'03,'0,'0,'651,'神戸大　　　　,'医　　　,'保健／看護学,'　,'　　　,'看護　　　,'1,'28
'1330,'55,'04,'0,'0,'658,'神戸大　　　　,'医　　　,'保健／検査技,'　,'　　　,'検査技術　,'1,'28
'1330,'55,'05,'0,'0,'656,'神戸大　　　　,'医　　　,'保健／作業療,'　,'　　　,'作業療法　,'1,'28
'1330,'55,'06,'0,'0,'655,'神戸大　　　　,'医　　　,'保健／理学療,'　,'　　　,'理学療法　,'1,'28
'1330,'55,'07,'0,'0,'551,'神戸大　　　　,'医　　　,'医療創成工　,'　,'　　　,'機械工学　,'1,'28
'1330,'72,'00,'0,'0,'701,'神戸大　　　　,'農　　　,'　　　　　　,'　,'　　　,'農学　　　,'0,'28
'1330,'72,'06,'0,'0,'701,'神戸大　　　　,'農　　　,'食料／生産環,'　,'　　　,'農学　　　,'1,'28
'1330,'72,'07,'0,'0,'707,'神戸大　　　　,'農　　　,'食料／食料環,'　,'　　　,'農業経済学,'1,'28
'1330,'72,'08,'0,'0,'709,'神戸大　　　　,'農　　　,'資源／応用動,'　,'　　　,'畜産学　　,'1,'28
'1330,'72,'09,'0,'0,'701,'神戸大　　　　,'農　　　,'資源／応用植,'　,'　　　,'農学　　　,'1,'28
'1330,'72,'10,'0,'0,'703,'神戸大　　　　,'農　　　,'生命／応用生,'　,'　　　,'農芸化学　,'1,'28
'1330,'72,'11,'0,'0,'703,'神戸大　　　　,'農　　　,'生命／応用機,'　,'　　　,'農芸化学　,'1,'28
'1330,'74,'00,'0,'0,'559,'神戸大　　　　,'海洋政策,'　　　　　　,'　,'　　　,'商船学　　,'0,'28
'1330,'74,'01,'0,'0,'559,'神戸大　　　　,'海洋政策,'海洋政策科学,'　,'　　　,'商船学　　,'1,'28
'1340,'31,'00,'0,'0,'301,'兵庫教育大　　,'学校教育,'　　　　　　,'　,'　　　,'小学校　　,'0,'28
'1340,'31,'01,'0,'0,'301,'兵庫教育大　　,'学校教育,'学校教育　　,'　,'　　　,'小学校　　,'1,'28
'1345,'30,'00,'0,'0,'301,'奈良教育大　　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'29
'1345,'30,'68,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／教育学,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'69,'0,'0,'105,'奈良教育大　　,'教育　　,'学校／心理学,'　,'　　　,'心理学　　,'1,'29
'1345,'30,'70,'0,'0,'312,'奈良教育大　　,'教育　　,'学校／幼年教,'　,'　　　,'幼稚園　　,'1,'29
'1345,'30,'71,'0,'0,'313,'奈良教育大　　,'教育　　,'学校／特別支,'　,'　　　,'特別支援教,'1,'29
'1345,'30,'72,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／国語初,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'73,'0,'0,'302,'奈良教育大　　,'教育　　,'学校／国語中,'　,'　　　,'中高－国語,'1,'29
'1345,'30,'74,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／社会初,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'75,'0,'0,'305,'奈良教育大　　,'教育　　,'学校／社会中,'　,'　　　,'中高－社会,'1,'29
'1345,'30,'76,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／数学初,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'77,'0,'0,'303,'奈良教育大　　,'教育　　,'学校／数学中,'　,'　　　,'中高－数学,'1,'29
'1345,'30,'78,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／理科初,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'79,'0,'0,'306,'奈良教育大　　,'教育　　,'学校／理科中,'　,'　　　,'中高－理科,'1,'29
'1345,'30,'84,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／保体初,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'85,'0,'0,'311,'奈良教育大　　,'教育　　,'学校／保体中,'　,'　　　,'中高－体育,'1,'29
'1345,'30,'86,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／家庭初,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'87,'0,'0,'308,'奈良教育大　　,'教育　　,'学校／家庭中,'　,'　　　,'中高－家庭,'1,'29
'1345,'30,'88,'0,'0,'307,'奈良教育大　　,'教育　　,'学校／技術中,'　,'　　　,'中高－技術,'1,'29
'1345,'30,'89,'0,'0,'304,'奈良教育大　　,'教育　　,'学校／英語中,'　,'　　　,'中高－英語,'1,'29
'1345,'30,'90,'0,'0,'315,'奈良教育大　　,'教育　　,'学校／書道教,'　,'　　　,'その他教員,'1,'29
'1345,'30,'91,'0,'0,'111,'奈良教育大　　,'教育　　,'学校／文化遺,'　,'　　　,'考古学・文,'1,'29
'1345,'30,'93,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／音楽教,'　,'　　　,'小学校　　,'1,'29
'1345,'30,'94,'0,'0,'301,'奈良教育大　　,'教育　　,'学校／美術教,'　,'　　　,'小学校　　,'1,'29
'1350,'01,'00,'0,'0,'101,'奈良女子大　　,'文　　　,'　　　　　　,'　,'　　　,'日本文学　,'1,'29
'1350,'42,'00,'0,'0,'501,'奈良女子大　　,'理　　　,'　　　　　　,'　,'　　　,'数学　　　,'0,'29
'1350,'42,'06,'0,'0,'501,'奈良女子大　　,'理　　　,'数物科学　　,'　,'　　　,'数学　　　,'1,'29
'1350,'42,'08,'0,'0,'503,'奈良女子大　　,'理　　　,'化学／化学　,'　,'　　　,'化学　　　,'1,'29
'1350,'42,'09,'0,'0,'504,'奈良女子大　　,'理　　　,'化学／生物科,'　,'　　　,'生物学　　,'1,'29
'1350,'42,'10,'0,'0,'507,'奈良女子大　　,'理　　　,'化学／環境科,'　,'　　　,'総合理学　,'1,'29
'1350,'46,'00,'0,'0,'551,'奈良女子大　　,'工　　　,'　　　　　　,'　,'　　　,'機械工学　,'0,'29
'1350,'46,'01,'0,'0,'551,'奈良女子大　　,'工　　　,'工　　　　　,'　,'　　　,'機械工学　,'1,'29
'1350,'79,'00,'0,'0,'401,'奈良女子大　　,'生活環境,'　　　　　　,'　,'　　　,'生活科学　,'0,'29
'1350,'79,'07,'0,'0,'402,'奈良女子大　　,'生活環境,'食物栄養　　,'　,'　　　,'食物・栄養,'1,'29
'1350,'79,'09,'0,'0,'405,'奈良女子大　　,'生活環境,'住環境　　　,'　,'　　　,'住居学　　,'1,'29
'1350,'79,'13,'0,'0,'105,'奈良女子大　　,'生活環境,'心身健康　　,'　,'　　　,'心理学　　,'1,'29
'1350,'79,'19,'0,'0,'401,'奈良女子大　　,'生活環境,'文化／生活文,'　,'　　　,'生活科学　,'1,'29
'1350,'79,'20,'0,'0,'506,'奈良女子大　　,'生活環境,'文化／生活情,'　,'　　　,'情報科学　,'1,'29
'1355,'18,'00,'0,'0,'201,'和歌山大　　　,'経済　　,'　　　　　　,'　,'　　　,'法学　　　,'0,'30
'1355,'18,'06,'0,'0,'201,'和歌山大　　　,'経済　　,'経済　　　　,'　,'　　　,'法学　　　,'1,'30
'1355,'27,'00,'0,'0,'106,'和歌山大　　　,'観光　　,'　　　　　　,'　,'　　　,'文化学　　,'0,'30
'1355,'27,'01,'0,'0,'106,'和歌山大　　　,'観光　　,'観光　　　　,'　,'　　　,'文化学　　,'1,'30
'1355,'30,'00,'0,'0,'301,'和歌山大　　　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'30
'1355,'30,'50,'0,'0,'105,'和歌山大　　　,'教育　　,'学校／文科系,'　,'　　　,'心理学　　,'1,'30
'1355,'30,'51,'0,'0,'105,'和歌山大　　　,'教育　　,'学校／理科系,'　,'　　　,'心理学　　,'1,'30
'1355,'30,'52,'0,'0,'301,'和歌山大　　　,'教育　　,'学校／音・美,'　,'　　　,'小学校　　,'1,'30
'1355,'30,'53,'0,'0,'301,'和歌山大　　　,'教育　　,'学校／保健体,'　,'　　　,'小学校　　,'1,'30
'1355,'37,'00,'0,'0,'106,'和歌山大　　　,'社会イン,'　　　　　　,'　,'　　　,'文化学　　,'1,'30
'1355,'47,'00,'0,'0,'551,'和歌山大　　　,'シス工　,'　　　　　　,'　,'　　　,'機械工学　,'0,'30
'1355,'47,'06,'0,'0,'551,'和歌山大　　　,'シス工　,'システム工　,'　,'　　　,'機械工学　,'1,'30
'1360,'27,'00,'0,'0,'106,'鳥取大　　　　,'地域　　,'　　　　　　,'　,'　　　,'文化学　　,'0,'31
'1360,'27,'06,'0,'0,'202,'鳥取大　　　　,'地域　　,'地域／地域創,'　,'　　　,'政治学　　,'1,'31
'1360,'27,'07,'0,'0,'301,'鳥取大　　　　,'地域　　,'地域／人間形,'　,'　　　,'小学校　　,'1,'31
'1360,'27,'08,'0,'0,'106,'鳥取大　　　　,'地域　　,'地域／国際地,'　,'　　　,'文化学　　,'1,'31
'1360,'46,'00,'0,'0,'551,'鳥取大　　　　,'工　　　,'　　　　　　,'　,'　　　,'機械工学　,'0,'31
'1360,'46,'09,'0,'0,'551,'鳥取大　　　　,'工　　　,'機械物理系　,'　,'　　　,'機械工学　,'1,'31
'1360,'46,'10,'0,'0,'552,'鳥取大　　　　,'工　　　,'電気情報系　,'　,'　　　,'電気・電子,'1,'31
'1360,'46,'11,'0,'0,'555,'鳥取大　　　　,'工　　　,'化学バイオ系,'　,'　　　,'応用化学　,'1,'31
'1360,'46,'12,'0,'0,'554,'鳥取大　　　　,'工　　　,'社会システム,'　,'　　　,'建築・土木,'1,'31
'1360,'55,'00,'0,'0,'504,'鳥取大　　　　,'医　　　,'　　　　　　,'　,'　　　,'生物学　　,'0,'31
'1360,'55,'01,'0,'0,'601,'鳥取大　　　　,'医　　　,'医　　　　　,'　,'　　　,'医　　　　,'1,'31
'1360,'55,'02,'0,'0,'504,'鳥取大　　　　,'医　　　,'生命科学　　,'　,'　　　,'生物学　　,'1,'31
'1360,'55,'04,'0,'0,'651,'鳥取大　　　　,'医　　　,'保健／看護学,'　,'　　　,'看護　　　,'1,'31
'1360,'55,'05,'0,'0,'658,'鳥取大　　　　,'医　　　,'保健／検査技,'　,'　　　,'検査技術　,'1,'31
'1360,'72,'00,'0,'0,'701,'鳥取大　　　　,'農　　　,'　　　　　　,'　,'　　　,'農学　　　,'0,'31
'1360,'72,'03,'0,'0,'705,'鳥取大　　　　,'農　　　,'共同獣医　　,'　,'　　　,'獣医学　　,'1,'31
'1360,'72,'04,'0,'0,'701,'鳥取大　　　　,'農　　　,'生命環境農　,'　,'　　　,'農学　　　,'1,'31
'1365,'03,'00,'0,'0,'101,'島根大　　　　,'法文　　,'　　　　　　,'　,'　　　,'日本文学　,'0,'32
'1365,'03,'04,'0,'0,'101,'島根大　　　　,'法文　　,'言語文化　　,'　,'　　　,'日本文学　,'1,'32
'1365,'03,'05,'0,'0,'201,'島根大　　　　,'法文　　,'法経　　　　,'　,'　　　,'法学　　　,'1,'32
'1365,'03,'06,'0,'0,'107,'島根大　　　　,'法文　　,'社会文化　　,'　,'　　　,'西洋史　　,'1,'32
'1365,'30,'00,'0,'0,'301,'島根大　　　　,'教育　　,'　　　　　　,'　,'　　　,'小学校　　,'0,'32
'1365,'30,'53,'0,'0,'301,'島根大　　　　,'教育　　,'学校教育Ⅰ類,'　,'　　　,'小学校　　,'1,'32
'1365,'30,'54,'0,'0,'309,'島根大　　　　,'教育　　,'学校／音楽科,'　,'　　　,'中高－音楽,'1,'32
'1365,'30,'55,'0,'0,'310,'島根大　　　　,'教育　　,'学校／美術科,'　,'　　　,'中高－美術,'1,'32
'1365,'30,'56,'0,'0,'311,'島根大　　　　,'教育　　,'学校／保健体,'　,'　　　,'中高－体育,'1,'32
'1365,'37,'00,'0,'0,'105,'島根大　　　　,'人間科学,'　　　　　　,'　,'　　　,'心理学　　,'0,'32
'1365,'37,'01,'0,'0,'105,'島根大　　　　,'人間科学,'人間科学　　,'　,'　　　,'心理学　　,'1,'32
'1365,'47,'00,'0,'0,'551,'島根大　　　　,'総合理工,'　　　　　　,'　,'　　　,'機械工学　,'0,'32
'1365,'47,'14,'0,'0,'551,'島根大　　　　,'総合理工,'総合理工　　,'　,'　　　,'機械工学　,'1,'32
'1365,'48,'00,'0,'0,'558,'島根大　　　　,'材料エネ,'　　　　　　,'　,'　　　,'金属・材料,'0,'32
'1365,'48,'01,'0,'0,'558,'島根大　　　　,'材料エネ,'材料エネルギ,'　,'　　　,'金属・材料,'1,'32
'1365,'55,'00,'0,'0,'601,'島根大　　　　,'医　　　,'　　　　　　,'　,'　　　,'医　　　　,'0,'32
'1365,'55,'01,'0,'0,'601,'島根大　　　　,'医　　　,'医　　　　　,'　,'　　　,'医　　　　,'1,'32
'1365,'55,'02,'0,'0,'651,'島根大　　　　,'医　　　,'看護　　　　,'　,'　　　,'看護　　　,'1,'32
