'大学ｺｰﾄﾞ,'学部ｺｰﾄﾞ,'学科ｺｰﾄﾞ,'日程ｺｰﾄﾞ,'方式ｺｰﾄﾞ,'小分類CD,'大学名,'学部名,'学科名,'日程,'入試方式,'小分類名,'募集単位,'県CD
'3807,'21,'03,'0,'0,'202,'安田女子大　　,'現代ビジ,'公共経営　　,'　,'　　　,'政治学　　,'1,'34
'3807,'30,'00,'0,'0,'312,'安田女子大　　,'教育　　,'　　　　　　,'　,'　　　,'幼稚園　　,'0,'34
'3807,'30,'01,'0,'0,'301,'安田女子大　　,'教育　　,'児童教育　　,'　,'　　　,'小学校　　,'1,'34
'3807,'30,'02,'0,'0,'312,'安田女子大　　,'教育　　,'幼児教育　　,'　,'　　　,'幼稚園　　,'1,'34
'3807,'47,'00,'0,'0,'405,'安田女子大　　,'理工　　,'　　　　　　,'　,'　　　,'住居学　　,'0,'34
'3807,'47,'01,'0,'0,'564,'安田女子大　　,'理工　　,'生物科学　　,'　,'　　　,'生物工学　,'1,'34
'3807,'47,'02,'0,'0,'553,'安田女子大　　,'理工　　,'情報科学　　,'　,'　　　,'情報工学　,'1,'34
'3807,'47,'03,'0,'0,'405,'安田女子大　　,'理工　　,'建築　　　　,'　,'　　　,'住居学　　,'1,'34
'3807,'61,'00,'0,'0,'621,'安田女子大　　,'薬　　　,'　　　　　　,'　,'　　　,'薬　　　　,'0,'34
'3807,'61,'01,'0,'0,'621,'安田女子大　　,'薬　　　,'薬　　　　　,'　,'　　　,'薬　　　　,'1,'34
'3807,'64,'00,'0,'0,'651,'安田女子大　　,'看護　　,'　　　　　　,'　,'　　　,'看護　　　,'0,'34
'3807,'64,'01,'0,'0,'651,'安田女子大　　,'看護　　,'看護　　　　,'　,'　　　,'看護　　　,'1,'34
'3807,'79,'00,'0,'0,'401,'安田女子大　　,'家政　　,'　　　　　　,'　,'　　　,'生活科学　,'0,'34
'3807,'79,'01,'0,'0,'401,'安田女子大　　,'家政　　,'生活デザイン,'　,'　　　,'生活科学　,'1,'34
'3807,'79,'02,'0,'0,'402,'安田女子大　　,'家政　　,'管理栄養　　,'　,'　　　,'食物・栄養,'1,'34
'3807,'79,'03,'0,'0,'401,'安田女子大　　,'家政　　,'造形デザイン,'　,'　　　,'生活科学　,'1,'34
'3808,'61,'00,'0,'0,'621,'広島国際大　　,'薬　　　,'　　　　　　,'　,'　　　,'薬　　　　,'0,'34
'3808,'61,'01,'0,'0,'621,'広島国際大　　,'薬　　　,'薬　　　　　,'　,'　　　,'薬　　　　,'1,'34
'3808,'64,'00,'0,'0,'652,'広島国際大　　,'保健医療,'　　　　　　,'　,'　　　,'医療技術　,'0,'34
'3808,'64,'02,'0,'0,'657,'広島国際大　　,'保健医療,'診療放射線　,'　,'　　　,'放射線技術,'1,'34
'3808,'64,'09,'0,'0,'652,'広島国際大　　,'保健医療,'医療／臨床工,'　,'　　　,'医療技術　,'1,'34
'3808,'64,'10,'0,'0,'658,'広島国際大　　,'保健医療,'医療／臨床検,'　,'　　　,'検査技術　,'1,'34
'3808,'64,'12,'0,'0,'652,'広島国際大　　,'保健医療,'救急救命　　,'　,'　　　,'医療技術　,'1,'34
'3808,'66,'00,'0,'0,'651,'広島国際大　　,'看護　　,'　　　　　　,'　,'　　　,'看護　　　,'0,'34
'3808,'66,'01,'0,'0,'651,'広島国際大　　,'看護　　,'看護　　　　,'　,'　　　,'看護　　　,'1,'34
'3808,'67,'00,'0,'0,'652,'広島国際大　　,'総合リハ,'　　　　　　,'　,'　　　,'医療技術　,'0,'34
'3808,'67,'01,'0,'0,'655,'広島国際大　　,'総合リハ,'リハ／理学療,'　,'　　　,'理学療法　,'1,'34
'3808,'67,'02,'0,'0,'656,'広島国際大　　,'総合リハ,'リハ／作業療,'　,'　　　,'作業療法　,'1,'34
'3808,'67,'03,'0,'0,'652,'広島国際大　　,'総合リハ,'リハ／言語聴,'　,'　　　,'医療技術　,'1,'34
'3808,'67,'07,'0,'0,'652,'広島国際大　　,'総合リハ,'リハ／義肢装,'　,'　　　,'医療技術　,'1,'34
'3808,'68,'00,'0,'0,'654,'広島国際大　　,'健康スポ,'　　　　　　,'　,'　　　,'体育・健康,'0,'34
'3808,'68,'01,'0,'0,'654,'広島国際大　　,'健康スポ,'健康スポーツ,'　,'　　　,'体育・健康,'1,'34
'3808,'69,'00,'0,'0,'105,'広島国際大　　,'健康科学,'　　　　　　,'　,'　　　,'心理学　　,'0,'34
'3808,'69,'01,'0,'0,'105,'広島国際大　　,'健康科学,'心理　　　　,'　,'　　　,'心理学　　,'1,'34
'3808,'69,'02,'0,'0,'402,'広島国際大　　,'健康科学,'医療栄養　　,'　,'　　　,'食物・栄養,'1,'34
'3808,'69,'03,'0,'0,'222,'広島国際大　　,'健康科学,'医療経営　　,'　,'　　　,'経営学・商,'1,'34
'3808,'69,'05,'0,'0,'753,'広島国際大　　,'健康科学,'社会／地域創,'　,'　　　,'総合科学　,'1,'34
'3808,'69,'06,'0,'0,'242,'広島国際大　　,'健康科学,'社会／社会福,'　,'　　　,'社会福祉学,'1,'34
'3810,'64,'00,'0,'0,'651,'日赤広島看護大,'看護　　,'　　　　　　,'　,'　　　,'看護　　　,'0,'34
'3810,'64,'01,'0,'0,'651,'日赤広島看護大,'看護　　,'看護　　　　,'　,'　　　,'看護　　　,'1,'34
'3811,'31,'00,'0,'0,'301,'広島都市学園大,'子ども教,'　　　　　　,'　,'　　　,'小学校　　,'0,'34
'3811,'31,'01,'0,'0,'301,'広島都市学園大,'子ども教,'子ども教育　,'　,'　　　,'小学校　　,'1,'34
'3811,'64,'00,'0,'0,'651,'広島都市学園大,'健康科学,'　　　　　　,'　,'　　　,'看護　　　,'0,'34
'3811,'64,'01,'0,'0,'651,'広島都市学園大,'健康科学,'看護　　　　,'　,'　　　,'看護　　　,'1,'34
