universityCode,displayName,reading,aliases,sourceTitle,sourceUrl,status,notes
3009,北海学園大,,,,,review,ほっかいがくえんだい
3010,北海商大,,,,,review,ほっかいしょうだい
3011,北海道医療大,,,,,review,ほっかいどういりょうだい
3012,北海道科学大,,,,,review,ほっかいどうかがくだい
3013,北海道情報大,,,,,review,ほっかいどうじょうほうだい
3016,酪農学園大,,,,,review,らくのうがくえんだい
3017,北翔大,,,,,review,ほくしょうまさる
3018,北洋大,,,,,review,ほくようだい
3020,日赤北海道看大,,,,,review,にっせきほっかいどうかんだい
3021,北海道文教大,,,,,review,ほっかいどうぶんきょうだい
3022,天使大,,,,,review,てんしだい
3023,育英館大,,,,,review,いくえいかんだい
3024,札幌大谷大,,,,,review,さっぽろおおたにまさる
3025,札幌保健医療大,,,,,review,さっぽろほけんいりょうだい
3026,日本医療大,,,,,review,にほんいりょうだい
3027,千歳リハビリ大,,,,,review,ちとせりはびりだい
3028,北海道武蔵女大,,,,,review,ほっかいどうむさしおんなだい
3041,青森大,,,,,review,あおもりだい
3042,柴田学園大,,,,,review,しばたがくえんだい
3043,八戸学院大,,,,,review,はちのへがくいんだい
3044,八戸工大,,,,,review,はちのへこうだい
3045,弘前学院大,,,,,review,ひろさきがくいんだい
3046,青森中央学院大,,,,,review,あおもりちゅうおうがくいんだい
3047,弘前医療福祉大,,,,,review,ひろさきいりょうふくしだい
3056,岩手医大,,,,,review,いわていだい
3057,富士大,,,,,review,ふじだい
3058,盛岡大,,,,,review,もりおかだい
3059,岩手保健医療大,,,,,review,いわてほけんいりょうだい
3066,石巻専修大,,,,,review,いしのまきせんしゅうだい
3067,仙台大,,,,,review,せんだいだい
3068,東北学院大,,,,,review,とうほくがくいんだい
3069,東北工大,,,,,review,とうほくこうだい
3070,東北生活文化大,,,,,review,とうほくせいかつぶんかだい
3071,東北福祉大,,,,,review,とうほくふくしだい
3072,東北医薬大,,,,,review,とうほくいやくだい
3073,宮城学院女子大,,,,,review,みやぎがくいんじょしだい
3074,仙台白百合女大,,,,,review,せんだいしらゆりおんなだい
3075,東北文化学園大,,,,,review,とうほくぶんかがくえんだい
3076,尚絅学院大,,,,,review,しょうけいがくいんだい
3077,仙台青葉学院大,,,,,review,せんだいあおばがくいんだい
3081,ノースアジア大,,,,,review,のーすあじあだい
3082,秋田看護福祉大,,,,,review,あきたかんごふくしだい
3083,日赤東北看護大,,,,,review,にっせきとうほくかんごだい
3090,東北芸術工大,,,,,review,とうほくげいじゅつこうだい
3091,東北公益文科大,,,,,review,とうほくこうえきぶんかだい
3092,東北文教大,,,,,review,とうほくぶんきょうだい
3098,医療創生大,,,,,review,いりょうそうせいだい
3099,奥羽大,,,,,review,おううだい
3100,郡山女子大,,,,,review,こおりやまじょしだい
3101,東日本国際大,,,,,review,ひがしにほんこくさいだい
3102,福島学院大,,,,,review,ふくしまがくいんだい
3106,茨城キリスト大,,,,,review,いばらききりすとだい
3107,つくば国際大,,,,,review,つくばこくさいだい
3108,常磐大,,,,,review,ときわまさる
3109,流通経済大,,,,,review,りゅうつうけいざいだい
3110,日本国際学園大,,,,,review,にほんこくさいがくえんだい
3112,ウェルネス大,,,,,review,うぇるねすだい
3113,アール医療職大,,,,,review,あーるいりょうしょくだい
3119,足利大,,,,,review,あしかがまさる
3120,国際医療福祉大,,,,,review,こくさいいりょうふくしだい
3121,作新学院大,,,,,review,さくしんがくいんだい
3122,自治医大,,,,,review,じちいだい
3123,獨協医大,,,,,review,どっきょういだい
3124,白鴎大,,,,,review,はくおうだい
3125,宇都宮共和大,,,,,review,うつのみやきょうわだい
3126,文星芸大,,,,,review,ぶんせいげいだい
3132,関東学園大,,,,,review,かんとうがくえんだい
3133,上武大,,,,,review,じょうぶだい
3134,共愛前橋国際大,,,,,review,きょうあいまえばしこくさいだい
3135,東京福祉大,,,,,review,とうきょうふくしだい
3136,高崎健康福祉大,,,,,review,たかさきけんこうふくしだい
3137,高崎商大,,,,,review,たかさきしょうだい
3138,群馬医療福祉大,,,,,review,ぐんまいりょうふくしだい
3140,群馬パース大,,,,,review,ぐんまぱーすだい
3141,ぐんま未来大,,,,,review,ぐんまみらいだい
3142,育英大,,,,,review,いくえいだい
3147,跡見学園女子大,,,,,review,あとみがくえんじょしだい
3148,埼玉医大,,,,,review,さいたまいだい
3149,埼玉工大,,,,,review,さいたまこうだい
3150,城西大,,,,,review,じょうさいだい
3151,駿河台大,,,,,review,するがだいだい
3152,聖学院大,,,,,review,きよしがくいんだい
3153,東京国際大,,,,,review,とうきょうこくさいだい
3154,東邦音大,,,,,review,とうほうおんだい
3155,獨協大,,,,,review,どっきょうだい
3156,日本工大,,,,,review,にほんこうだい
3157,文教大,,,,,review,ぶんきょうだい
3158,文京学院大,,,,,review,ぶんきょうがくいんだい
3159,明海大,,,,,review,めいかいだい
3160,目白大,,,,,review,めじろだい
3161,平成国際大,,,,,review,へいせいこくさいだい
3162,十文字学園女大,,,,,review,じゅうもんじがくえんおんなだい
3163,西武文理大,,,,,review,せいぶぶんりだい
3164,埼玉学園大,,,,,review,さいたまがくえんだい
3165,尚美学園大,,,,,review,しょうびがくえんだい
3166,共栄大,,,,,review,きょうえいだい
3167,ものつくり大,,,,,review,ものつくりだい
3168,浦和大,,,,,review,うらわだい
3169,日本薬大,,,,,review,にほんやくだい
3170,武蔵野学院大,,,,,review,むさしのがくいんだい
3171,人間総合科学大,,,,,review,にんげんそうごうかがくだい
3172,日本医療科学大,,,,,review,にほんいりょうかがくだい
3173,東都大,,,,,review,とうとだい
3174,日本保健医療大,,,,,review,にほんほけんいりょうだい
3191,江戸川大,,,,,review,えどがわまさる
3192,川村学園女子大,,,,,review,かわむらがくえんじょしだい
3193,神田外語大,,,,,review,かんだがいごだい
3194,敬愛大,,,,,review,けいあいだい
3195,国際武道大,,,,,review,こくさいぶどうだい
3196,淑徳大,,,,,review,しゅくとくだい
3197,城西国際大,,,,,review,じょうさいこくさいだい
3198,聖徳大,,,,,review,せいとくだい
3199,清和大,,,,,review,せいわだい
3200,千葉経大,,,,,review,ちばきょうだい
3201,千葉工大,,,,,review,ちばこうだい
3202,千葉商大,,,,,review,ちばしょうだい
3203,中央学院大,,,,,review,ちゅうおうがくいんだい
3204,帝京平成大,,,,,review,ていきょうへいせいだい
